feature,rmse_increase
num__PM2.5,40.857380066359504
num__CO,23.55691260240446
num__PM10,11.544065076612256
num__O3,1.4503294210257422
num__NOx,1.0971262462296636
num__SO2,0.9053920731699634
num__NO2,0.8466419657662101
num__week_of_year,0.6278051638754079
num__NO,0.6206482444725694
cat__City_Talcher,0.4146893559989735
num__day_of_year,0.30135275435190323
cat__City_Jorapokhar,0.18367618829313415
cat__City_Patna,0.18031654461213975
cat__City_Bengaluru,0.16258661946188369
cat__City_Mumbai,0.1569511496940592
cat__City_Ahmedabad,0.12857587966144735
cat__City_Lucknow,0.10291710144776545
cat__City_Brajrajnagar,0.09082839237408535
num__month,0.0811089698682892
cat__City_Visakhapatnam,0.0690267567624474
cat__City_Amaravati,0.043595668349013295
cat__City_Hyderabad,0.03508527545326956
cat__City_Thiruvananthapuram,0.029665429385090647
cat__City_Gurugram,0.0215608039078532
num__hour,0.0
cat__City_Chennai,-0.00019877272986690286
num__Xylene,-0.016545697055967423
cat__City_Jaipur,-0.01782640300269378
cat__City_Kolkata,-0.01891802226205641
num__year,-0.03811548994470115
cat__City_Delhi,-0.05763452531804347
num__NH3,-0.07378566019729504
num__is_weekend,-0.08365161024095613
cat__City_Amritsar,-0.09720158986259975
num__day_of_week,-0.10791583746325273
num__day,-0.24117260535795992
num__Toluene,-0.41412736685571616
num__Benzene,-1.117468061700393
